sa,naics_sector,series,geo,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
U,TOTAL,BA_BA,US,2026,547443,505240,534850,649160,498776,496832,634735,,,,,
U,NAICS11,BA_BA,US,2026,4687,5048,4676,4871,3366,3129,3796,,,,,
U,NAICS21,BA_BA,US,2026,524,544,593,687,478,509,537,,,,,
U,NAICS22,BA_BA,US,2026,498,586,581,722,521,562,648,,,,,
U,NAICS23,BA_BA,US,2026,46834,50799,51361,62652,46995,45469,51819,,,,,
U,NAICSMNF,BA_BA,US,2026,7714,7936,7576,9056,6880,6870,8533,,,,,
U,NAICS42,BA_BA,US,2026,10548,9438,9034,12925,9173,8682,10724,,,,,
U,NAICSRET,BA_BA,US,2026,113205,72640,85806,105976,88374,90197,161695,,,,,
U,NAICSTW,BA_BA,US,2026,36903,34613,35409,42936,31509,32173,39337,,,,,
U,NAICS51,BA_BA,US,2026,11318,11368,12675,15593,11815,12379,14497,,,,,
U,NAICS52,BA_BA,US,2026,19903,19490,20012,23178,17665,18029,22225,,,,,
U,NAICS53,BA_BA,US,2026,27048,25969,27132,32305,24757,25108,28309,,,,,
U,NAICS54,BA_BA,US,2026,79728,77328,79653,96621,77280,76815,84727,,,,,
U,NAICS55,BA_BA,US,2026,6428,6178,6597,7815,5639,5918,7216,,,,,
U,NAICS56,BA_BA,US,2026,36035,38087,41704,51364,37259,35922,41658,,,,,
U,NAICS61,BA_BA,US,2026,8546,8351,8799,10649,8036,7949,9706,,,,,
U,NAICS62,BA_BA,US,2026,34774,33622,34985,42206,31369,30716,36940,,,,,
U,NAICS71,BA_BA,US,2026,16443,15960,16189,19367,14379,14163,16522,,,,,
U,NAICS72,BA_BA,US,2026,26032,27537,29319,36831,28213,28518,33875,,,,,
U,NAICS81,BA_BA,US,2026,46450,46485,48154,56253,41140,39889,46775,,,,,
U,NONAICS,BA_BA,US,2026,13825,13261,14595,17153,13928,13835,15196,,,,,
A,TOTAL,BA_BA,US,2026,526115,496121,493792,506807,528929,535690,578926,,,,,
